
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    192.168.2.103:56356    64.233.189.188:443     ESTABLISHED     13956
  TCP    192.168.2.103:56358    35.201.97.85:443       ESTABLISHED     69760
  TCP    192.168.2.103:56362    31.13.87.1:443         ESTABLISHED     13956
  TCP    192.168.2.103:56988    34.107.244.205:43      ESTABLISHED     68988
  TCP    192.168.2.103:57671    31.13.87.1:443         ESTABLISHED     13956
  TCP    192.168.2.103:60757    74.125.203.188:5228    ESTABLISHED     68988
  TCP    192.168.2.103:61224    216.58.200.227:80      ESTABLISHED     67500
  TCP    192.168.2.103:61225    172.217.27.132:443     ESTABLISHED     67500
  TCP    192.168.2.103:61230    216.58.200.35:80       ESTABLISHED     64548
  TCP    192.168.2.103:61232    216.58.200.36:443      ESTABLISHED     64548
  TCP    192.168.2.103:61534    64.233.188.188:5228    ESTABLISHED     67500
  TCP    192.168.2.103:61536    172.217.160.110:80     ESTABLISHED     11816
  TCP    192.168.2.103:61538    64.233.189.188:5228    ESTABLISHED     51800
  TCP    192.168.2.103:61573    216.58.200.51:443      ESTABLISHED     69760
  TCP    192.168.2.103:61576    216.58.200.51:443      ESTABLISHED     69760
  TCP    192.168.2.103:61580    216.58.200.51:443      ESTABLISHED     69760
  TCP    192.168.2.103:61581    104.16.52.111:443      ESTABLISHED     69760
  TCP    192.168.2.103:61587    104.18.70.113:443      ESTABLISHED     69760
  TCP    192.168.2.103:61588    104.18.70.113:443      ESTABLISHED     69760
  TCP    192.168.2.103:61589    216.58.200.238:443     ESTABLISHED     69760
  TCP    192.168.2.103:61590    104.16.53.111:443      ESTABLISHED     69760
  TCP    192.168.2.103:61593    104.18.73.113:443      ESTABLISHED     69760
  TCP    192.168.2.103:61594    104.16.53.111:443      ESTABLISHED     69760
  TCP    192.168.2.103:61607    216.58.200.51:443      ESTABLISHED     47284
  TCP    192.168.2.103:61636    64.233.188.188:5228    ESTABLISHED     64548
  TCP    192.168.2.103:61662    64.233.189.188:5228    ESTABLISHED     45492
  TCP    192.168.2.103:61751    31.13.87.1:443         TIME_WAIT       0
  TCP    192.168.2.103:61752    31.13.87.1:443         TIME_WAIT       0
  TCP    192.168.2.103:61754    35.190.78.8:443        TIME_WAIT       0
  TCP    192.168.2.103:61761    35.241.26.53:443       TIME_WAIT       0
  TCP    192.168.2.103:61762    35.241.52.229:443      TIME_WAIT       0
  TCP    192.168.2.103:61763    34.252.37.26:443       ESTABLISHED     45492
  TCP    192.168.2.103:61776    172.217.27.141:443     TIME_WAIT       0
  TCP    192.168.2.103:61777    172.217.160.78:443     TIME_WAIT       0
  TCP    192.168.2.103:61785    23.53.79.155:443       ESTABLISHED     45492
  TCP    192.168.2.103:61830    192.168.1.255:1688     SYN_SENT        51868
  TCP    192.168.2.103:61831    31.13.87.1:443         ESTABLISHED     45492
  TCP    192.168.2.103:61857    216.58.200.237:443     TIME_WAIT       0
  TCP    192.168.2.103:61858    172.217.24.14:443      TIME_WAIT       0
  TCP    192.168.2.103:61878    34.107.216.248:195     TIME_WAIT       0
  TCP    192.168.2.103:61880    54.77.210.188:443      ESTABLISHED     45492
  TCP    192.168.2.103:61885    27.105.82.242:443      ESTABLISHED     45492
  TCP    192.168.2.103:61888    34.107.216.248:195     TIME_WAIT       0
  TCP    192.168.2.103:61913    172.217.27.141:443     TIME_WAIT       0
  TCP    192.168.2.103:61914    172.217.24.14:443      TIME_WAIT       0
